Year,Week_Number,Month,Day,Moon_Category,RBB,WSB,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,T2M,T2M_MIN,T2M_MAX,RH2M,PRECTOTCORR,WS2M,WS2M_MAX,WS2M_MIN,WD2M,GWETTOP
2018,1,1,7,5,90844,22,10.79,1.08,0.03,25.58,22.31,29.20,87.46,5.45,0.94,1.81,0.37,143.47,0.9
2018,2,1,14,7,2236,36,10.85,1.06,0.03,25.59,22.04,29.51,84.81,4.83,0.84,1.63,0.30,97.87,0.89
2018,3,1,21,1,1083,7,10.79,1.03,0.03,24.36,21.77,27.48,88.77,4.08,0.85,1.70,0.38,181.03,0.89
2018,4,1,28,3,32360,6,11.1,1.15,0.04,25.75,21.99,29.87,84.92,1.95,0.74,1.45,0.23,125.7,0.88
2018,5,2,4,4,23705,1,11.14,1.15,0.04,25.34,21.26,29.82,83.94,7.29,0.89,1.68,0.28,177.4,0.88
2018,6,2,11,7,445,10,11.17,1.14,0.04,25.81,23.00,30.12,85.96,1.15,1.37,2.60,0.50,276.19,0.87
2018,7,2,18,1,16,6,11.62,1.16,0.04,25.72,22.00,29.92,84.97,7.87,0.96,2.00,0.27,156.74,0.88
2018,8,2,25,3,182,5,12.09,1.3,0.04,25.74,21.44,30.47,83.39,1.28,1.08,2.16,0.49,92.36,0.85
2018,9,3,4,4,4335,3,12.08,1.37,0.05,26.09,21.95,30.69,83.64,4.96,1.03,1.88,0.45,109.63,0.85
2018,10,3,11,7,31,1,12.29,1.42,0.05,25.89,20.61,31.42,80.10,0.45,1.18,2.19,0.54,84.97,0.82
2018,11,3,18,0,3,0,12.42,1.45,0.05,26.42,21.52,31.91,80.40,0.38,0.97,1.92,0.32,166.21,0.8
2018,12,3,25,2,21,0,12.53,1.32,0.04,25.78,22.11,30.34,83.35,7.13,0.89,1.90,0.23,132.56,0.81
2018,13,4,1,4,1361,1,12.24,1.41,0.04,25.65,21.51,30.82,81.45,2.24,1.30,3.04,0.37,250.59,0.8
2018,14,4,8,7,84,0,12.09,1.4,0.04,26.45,22.64,31.16,80.98,2.18,0.86,1.73,0.19,204.84,0.78
2018,15,4,15,0,2,0,12.6,1.4,0.04,26.60,22.50,30.94,84.19,7.49,1.14,2.13,0.50,96.56,0.79
2018,16,4,22,1,1,0,12.49,1.35,0.04,26.63,23.24,30.65,84.64,8.67,0.90,1.69,0.31,154.46,0.82
2018,17,4,29,4,530,0,12.33,1.41,0.04,26.30,23.77,29.82,85.64,4.37,0.88,1.59,0.33,196.87,0.8
2018,18,5,6,5,3441,3,12.39,1.38,0.04,26.60,23.14,30.90,83.52,5.57,0.91,1.85,0.36,226.69,0.81
2018,19,5,13,7,1,1,12.18,1.41,0.04,26.49,23.51,30.56,84.62,3.63,1.05,2.07,0.39,224.71,0.8
2018,20,5,20,1,0,0,12.1,1.33,0.04,26.40,23.54,29.74,85.32,12.64,0.75,1.37,0.24,191.77,0.83
2018,21,5,27,3,51,1,12.25,1.5,0.05,27.16,23.24,31.26,82.59,7.35,0.88,1.68,0.35,119.13,0.83
2018,22,6,3,5,5415,3,11.7,1.24,0.04,26.00,23.52,29.42,87.57,28.69,1.05,2.12,0.35,229.54,0.89
2018,23,6,10,7,378,29,11.84,1.21,0.04,25.97,23.00,29.99,86.80,3.67,1.39,2.66,0.66,233.67,0.87
2018,24,6,17,1,1,49,11.78,1.28,0.04,26.10,22.85,30.34,83.58,3.79,0.93,1.67,0.49,214.49,0.86
2018,25,6,24,3,7,9,11.72,1.24,0.04,25.98,22.74,29.70,83.78,8.02,0.78,1.45,0.30,177.93,0.87
2018,26,7,1,5,1645,1,11.85,1.27,0.04,26.21,22.47,30.63,83.77,11.39,0.84,1.58,0.36,191.7,0.88
2018,27,7,8,7,4,10,11.71,1.23,0.04,25.12,22.79,28.37,87.84,10.42,1.18,2.31,0.49,256.27,0.89
2018,28,7,15,0,1,98,11.5,1.12,0.04,25.18,22.24,29.16,86.32,15.40,1.28,2.67,0.55,235.47,0.91
2018,29,7,22,3,710,114,11.7,1.19,0.04,25.71,22.14,30.46,85.06,4.49,1.16,2.38,0.55,224.13,0.9
2018,30,7,29,4,38255,15,11.69,1.23,0.04,25.55,22.64,29.55,86.85,15.05,1.34,2.69,0.64,253.79,0.91
2018,31,8,5,6,14968,104,11.49,1.02,0.03,24.94,22.34,28.69,87.54,10.68,1.42,2.78,0.63,235.77,0.92
2018,32,8,12,0,696,28,11.8,1.22,0.04,25.19,22.15,29.30,86.61,1.43,1.28,2.42,0.62,219.71,0.91
2018,33,8,19,2,2747,6,11.93,1.23,0.04,25.33,22.18,29.41,85.38,11.72,1.15,2.38,0.51,236.4,0.91
2018,34,8,26,4,21949,17,12.09,1.25,0.04,25.90,22.94,29.93,85.25,8.33,1.03,1.89,0.39,234.71,0.91
2018,35,9,2,5,12297,10,12.01,1.26,0.04,25.37,22.73,29.21,86.10,8.48,1.56,2.87,0.64,255.31,0.91
2018,36,9,9,7,38,9,11.96,1.19,0.04,24.97,21.99,29.03,86.28,2.48,1.31,2.61,0.56,241.86,0.9
2018,37,9,16,1,174,4,11.89,1.04,0.03,24.84,22.41,28.10,88.09,6.89,1.70,3.22,0.71,222.57,0.9
2018,38,9,23,3,5741,2,12,1.19,0.04,25.75,22.98,29.81,86.61,13.06,1.28,2.72,0.41,256.34,0.91
2018,39,9,30,4,11383,2,11.83,1.22,0.04,25.58,22.52,29.94,86.06,5.56,1.45,2.99,0.56,254.83,0.9
2018,40,10,7,7,152,5,11.69,1.22,0.04,26.32,22.82,30.63,84.76,2.87,0.80,1.55,0.34,206.01,0.88
2018,41,10,14,0,13,1,11.83,1.32,0.04,26.74,23.30,31.02,84.24,7.12,0.83,1.64,0.32,176.03,0.87
2018,42,10,21,3,22,0,11.63,1.21,0.04,25.09,22.56,28.68,88.05,14.68,1.20,2.27,0.46,241.27,0.9
2018,43,10,28,4,2029,0,11.53,1.26,0.04,25.95,23.04,30.06,85.20,10.75,1.13,2.40,0.36,268.5,0.91
2018,44,11,4,7,1,7,11.33,1.3,0.04,26.45,22.40,31.03,84.63,2.32,1.01,2.05,0.40,143.34,0.88
2018,45,11,11,0,0,30,11.45,1.35,0.04,26.69,22.50,31.11,83.39,3.51,0.94,1.94,0.35,90.5,0.87
2018,46,11,18,3,0,20,11.12,1.23,0.04,25.99,22.16,29.99,84.71,8.03,0.73,1.54,0.24,164.86,0.88
2018,47,11,25,4,3,4,11.03,1.26,0.04,25.42,21.72,29.90,85.02,1.66,1.08,2.24,0.39,222.97,0.86
2018,48,12,2,5,0,3,10.97,1.27,0.04,26.28,21.70,31.13,83.36,3.78,0.86,1.65,0.39,113.9,0.86
2018,49,12,9,0,0,7,10.85,1.21,0.03,25.81,21.75,30.65,85.65,0.45,1.08,1.94,0.56,95.67,0.84
2018,50,12,16,1,0,33,10.72,1.29,0.04,26.10,21.15,31.32,83.78,0.86,1.05,2.04,0.43,78.73,0.82
2018,51,12,23,3,3248,15,10.58,1.11,0.03,25.75,23.00,29.51,86.69,5.82,0.95,2.01,0.30,200.13,0.83
2018,52,12,30,5,186,10,10.53,1.17,0.03,25.55,22.76,29.36,86.76,11.86,1.44,2.74,0.55,253.04,0.84
2019,2,1,13,1,1118,21,10.86,1.08,0.03,25.00,21.03,29.40,85.00,3.14,1.00,2.00,0.37,97.61,0.85
2019,3,1,20,3,6955,10,10.85,1.07,0.03,24.50,20.88,28.71,86.24,2.54,1.05,2.14,0.42,145.44,0.85
2019,4,1,27,5,17286,8,11,1.05,0.03,25.84,22.55,29.91,85.99,5.01,0.93,1.85,0.35,153.23,0.85
2019,5,2,3,7,11856,11,11.14,1.13,0.03,25.06,21.02,29.51,83.25,4.64,0.96,1.94,0.32,136.76,0.84
2019,6,2,10,1,346,12,11.32,1.2,0.04,25.65,21.68,30.62,83.45,0.87,1.25,2.38,0.51,180.47,0.83
2019,7,2,17,3,907,8,11.73,1.27,0.04,24.92,20.29,30.23,82.87,5.20,1.23,2.40,0.44,129.85,0.82
2019,8,2,24,4,15752,4,11.94,1.36,0.04,25.28,20.34,30.78,81.06,0.73,1.16,2.27,0.49,76.14,0.8
2019,9,3,3,7,2511,2,12.08,1.42,0.05,25.79,20.91,31.11,80.22,2.70,1.02,1.99,0.36,122.61,0.79
2019,10,3,10,0,146,1,12.21,1.37,0.04,26.00,20.96,31.54,79.77,0.48,1.13,2.15,0.48,107.75,0.76
2019,11,3,17,3,1086,0,12.27,1.39,0.04,26.28,21.41,31.90,78.98,1.62,0.96,1.92,0.30,151.57,0.75
2019,12,3,24,4,3307,0,12.55,1.31,0.04,26.02,21.89,30.91,82.59,7.81,0.96,2.09,0.29,132.91,0.78
2019,13,3,31,5,708,1,12.37,1.4,0.05,25.81,21.43,31.07,80.38,3.47,1.17,2.60,0.31,164.4,0.76
2019,14,4,7,0,51,2,12.27,1.38,0.04,26.40,22.21,31.51,80.58,4.59,0.89,1.79,0.22,202.36,0.74
2019,15,4,14,1,35,0,12.61,1.4,0.04,26.82,22.57,31.45,82.74,6.59,1.08,2.05,0.46,93.38,0.77
2019,16,4,21,3,158,0,12.5,1.44,0.05,26.93,23.02,31.62,82.15,6.84,0.94,1.82,0.31,168.29,0.76
2019,17,4,28,5,266,0,12.35,1.41,0.04,27.10,23.51,31.43,82.57,5.88,0.92,1.79,0.33,139.14,0.76
2019,18,5,5,7,1720,2,12.3,1.41,0.04,26.59,23.30,30.85,83.60,6.50,0.99,2.02,0.38,224.84,0.77
2019,19,5,12,1,0,1,12.13,1.39,0.04,26.65,23.55,30.80,83.59,2.65,1.09,2.13,0.46,242.7,0.75
2019,20,5,19,3,44,0,12.1,1.32,0.04,26.64,23.55,30.39,84.58,10.17,0.87,1.56,0.31,209.87,0.79
2019,21,5,26,5,125,1,12.11,1.4,0.04,26.92,23.67,30.70,83.98,5.34,0.90,1.74,0.38,181.14,0.77
2019,22,6,2,7,2708,1,11.88,1.27,0.04,26.67,23.46,30.59,84.83,17.42,0.99,1.93,0.35,171.45,0.8
2019,23,6,9,0,197,15,11.84,1.23,0.04,26.40,23.24,30.36,85.66,12.06,1.09,2.09,0.48,184.95,0.84
2019,24,6,16,3,41,24,11.75,1.25,0.04,26.68,23.48,30.87,83.72,7.06,0.90,1.65,0.41,216.02,0.83
2019,25,6,23,5,38,5,11.74,1.23,0.04,26.19,23.39,29.75,85.37,10.20,0.84,1.55,0.36,211.9,0.84
2019,26,6,30,7,823,0,11.77,1.22,0.04,26.15,22.82,30.38,83.99,9.09,0.96,1.91,0.43,212.82,0.84
2019,27,7,7,0,2,5,11.7,1.24,0.04,25.35,22.67,28.88,86.81,10.87,1.05,2.06,0.45,235.32,0.86
2019,28,7,14,3,0,49,11.64,1.12,0.04,25.12,22.40,28.86,86.11,17.08,1.16,2.33,0.50,231.81,0.88
2019,29,7,21,4,355,57,11.79,1.21,0.04,25.72,22.19,30.21,85.29,4.78,1.24,2.48,0.52,206.16,0.87
2019,30,7,28,6,19128,8,11.71,1.21,0.04,25.34,22.54,29.18,86.83,10.52,1.28,2.61,0.57,249.18,0.88
2019,31,8,4,0,7484,53,11.63,1.06,0.03,24.84,22.04,28.70,86.92,9.75,1.36,2.76,0.57,236.13,0.89
2019,32,8,11,3,348,14,11.95,1.29,0.04,25.30,21.80,29.88,85.47,0.85,1.50,2.89,0.68,216.06,0.86
2019,33,8,18,4,1376,3,12.01,1.32,0.04,25.75,22.42,30.01,84.20,7.73,1.07,2.11,0.50,224.79,0.86
2019,34,8,25,5,10974,9,12.03,1.25,0.04,25.60,22.53,29.73,85.11,10.04,1.14,2.12,0.46,233.91,0.87
2019,35,9,1,0,6149,5,11.96,1.22,0.04,25.28,22.74,28.96,86.92,11.34,1.53,2.77,0.61,249.51,0.89
2019,36,9,8,1,19,5,11.93,1.22,0.04,25.23,22.12,29.46,84.88,3.25,1.19,2.42,0.53,242.85,0.87
2019,37,9,15,3,134,3,11.74,1.03,0.03,25.09,22.62,28.58,87.23,6.92,1.79,3.46,0.74,231.21,0.87
2019,38,9,22,5,2888,1,11.44,1.21,0.04,25.79,22.24,30.60,84.48,6.61,1.10,2.19,0.41,236.21,0.87
2019,39,9,29,7,5697,2,11.68,1.23,0.04,26.20,23.00,30.73,84.24,3.33,1.16,2.35,0.41,233.74,0.85
2019,40,10,6,1,105,3,11.78,1.26,0.04,26.08,22.70,30.24,85.22,8.33,0.87,1.68,0.37,205.41,0.86
2019,41,10,13,3,431,1,11.72,1.27,0.04,26.41,23.30,30.65,84.74,19.54,0.94,1.90,0.35,215.46,0.87
2019,42,10,20,5,477,1,11.52,1.21,0.04,25.85,22.80,29.90,85.71,11.08,1.02,1.97,0.39,227.57,0.88
2019,43,10,27,7,1085,1,11.5,1.23,0.04,26.11,23.14,30.08,85.60,15.74,0.95,2.03,0.28,232.07,0.9
2019,44,11,3,1,11,4,11.24,1.25,0.04,25.84,22.42,29.99,86.83,9.78,1.11,2.27,0.45,182.44,0.9
2019,45,11,10,3,388,15,11.15,1.26,0.04,26.00,22.24,30.45,84.45,3.33,1.06,2.23,0.42,171.54,0.88
2019,46,11,17,5,101,11,11.1,1.27,0.04,25.79,22.26,30.08,85.24,4.46,0.94,2.00,0.32,211.15,0.88
2019,47,11,24,7,4,2,10.95,1.26,0.04,25.80,22.44,29.93,85.09,2.79,0.92,1.86,0.34,204.98,0.87
2019,48,12,1,0,3,2,10.93,1.27,0.04,26.44,22.21,31.30,83.23,3.17,0.86,1.64,0.32,138.05,0.86
2019,49,12,8,3,5,3,10.61,1.22,0.03,25.76,22.35,30.22,86.19,0.98,1.07,2.03,0.51,168.96,0.84
2019,50,12,15,4,9,17,10.72,1.26,0.04,25.92,21.59,30.77,84.76,2.33,1.03,2.03,0.40,97.61,0.83
2019,51,12,22,6,1624,10,10.7,1.14,0.03,25.43,22.16,29.54,86.12,3.94,0.96,1.98,0.34,149.35,0.83
2019,52,12,29,0,93,5,10.56,1.19,0.04,25.58,21.97,29.92,85.51,6.15,1.29,2.51,0.47,203.09,0.83
2020,2,1,12,3,749,14,10.86,1.11,0.03,25.33,21.36,29.85,84.35,2.66,0.97,1.99,0.33,99.48,0.83
2020,3,1,19,5,4637,7,10.9,1.15,0.03,25.16,21.51,29.48,84.76,4.50,0.99,2.00,0.38,139.25,0.83
2020,4,1,26,7,11524,7,11.08,1.13,0.03,25.83,22.00,30.41,85.06,4.15,1.04,2.07,0.40,135.77,0.83
2020,5,2,2,1,7904,8,11.16,1.22,0.04,25.54,21.67,30.08,82.68,4.16,0.94,1.93,0.31,152.24,0.82
2020,6,2,9,3,250,8,11.32,1.22,0.04,25.61,21.47,30.81,83.04,1.27,1.25,2.33,0.51,155.63,0.8
2020,7,2,16,5,633,5,11.67,1.24,0.04,25.18,20.47,30.62,82.31,3.85,1.30,2.52,0.47,111.38,0.8
2020,8,2,23,7,10502,3,11.9,1.35,0.04,25.24,20.17,31.10,80.42,0.69,1.26,2.42,0.51,74.95,0.77
2020,9,3,1,1,1674,2,12.06,1.36,0.04,25.99,21.14,31.36,80.44,1.90,1.11,2.23,0.38,104.89,0.76
2020,10,3,8,3,115,1,12.16,1.35,0.04,26.22,21.55,31.53,80.94,2.26,1.14,2.24,0.45,125.95,0.75
2020,11,3,15,5,774,1,12.33,1.46,0.05,26.34,21.26,32.28,77.93,1.14,1.03,2.03,0.32,123.7,0.72
